Quest.;Curso;Turno;Semestre;sexo;idade;CF;Estado civil;RMI;RF;Fonte de renda;Municipio;Acesso a Internet;Horas de acesso;MTG;CUCMF;ACAI;UICSF;UIDA;UBDA;CEA;CFPP;CPC;PQC;PQNC;IPIC;PIPI;SNC;CCPI;MGCO;FDC;DU;TDP;CATCP;CPE;ECE;MIN;MIP;ADC;IMPORTAÇÃO;TPI
90;Letras;manhã;II;0;20;2;0;0,00;900,00;0;Juazeiro do Norte;1;3;2;0;1;0;1;0;0;2;1;1;;0;1;2;0;0;0;0;0;0;0;0;0;2;2;0;
91;Letras;manhã;II;1;21;4;0;0,00;900,00;0;Barbalha;1;2;0;2;2;0;1;1;0;0;0;;1;2;3;1;1;1;3;3;3;1;0;1;1;0;2;1;0
92;Letras;manhã;VI;0;21;5;0;0,00;1500,00;0;Juazeiro do Norte;1;3;0;2;1;0;0;1;0;0;0;;1;2;1;2;1;0;5;3;3;0;0;0;0;0;2;0;
93;Letras;manhã;VI;0;20;4;0;0,00;1996,00;0;Crato;1;3;0;0;1;0;0;0;0;0;0;;0;0;1;2;0;0;0;0;0;0;0;0;0;3;2;0;
94;Letras;noite;VI;0;23;6;0;0,00;1996,00;0;Morelandia;1;3;0;4;0;0;1;0;0;0;0;;1;1;0;2;1;0;6;1;1;1;1;1;2;1;2;1;1
95;Geografia;manhã;V;0;19;3;0;0,00;998,00;0;Crato;0;3;2;4;0;0;1;0;0;0;0;;0;2;0;0;0;0;0;0;0;0;0;0;1;2;2;0;
96;Geografia;manhã;V;1;22;5;0;300,00;300,00;0;Caririaçu;1;1;0;2;1;0;1;0;0;0;0;;1;2;0;2;0;0;0;0;0;0;0;0;0;0;2;0;
97;Geografia;manhã;VIII;0;26;4;0;450,00;998,00;4;Crato;1;2;2;1;1;1;1;0;1;0;0;;1;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;
98;Geografia;manhã;IV;1;22;4;0;0,00;1996,00;0;Morelandia;1;3;2;0;0;0;0;0;1;0;0;;1;0;0;2;0;0;0;0;0;0;0;0;0;0;2;0;
99;Geografia;manhã;II;1;18;2;0;0,00;3940,00;0;Crato;1;3;0;2;1;0;1;0;1;1;0;;0;1;1;2;1;3;3;3;2;0;1;1;1;3;2;0;
100;Geografia;manhã;I;0;23;3;0;0,00;954,00;0;Crato;1;1;2;1;0;0;1;0;0;2;0;;1;2;1;2;1;0;5;1;1;1;0;1;1;0;2;0;
101;Geografia;noite;VII;1;21;5;0;240,00;1200,00;2;Santana do Cariri;1;3;2;1;1;0;1;1;0;1;0;;1;2;0;1;1;3;5;3;2;0;0;0;0;0;1;0;
102;Geografia;noite;IV;0;23;5;0;100,00;600,00;0;Assaré;1;1;0;2;0;0;0;0;0;0;0;;0;2;0;2;0;0;0;0;0;0;0;0;0;0;0;0;
103;Geografia;manhã;VIII;0;23;2;2;0,00;998,00;0;Farias Brito;0;0;2;1;0;1;1;0;1;0;0;;1;2;0;2;1;2;3;3;2;1;0;0;2;0;0;0;
104;Geografia;manhã;VIII;0;22;5;0;0,00;998,00;0;Farias Brito;1;2;2;1;1;1;1;0;0;0;0;;0;1;0;2;1;2;5;3;1;0;0;2;0;0;2;0;
